('滟澜新宸东区，精装修小三居，全新未入住，诚心出售价格可谈', '3 室 2 厅 2 卫', '昌平')
('万通新新家园 必看房源 无遮挡 临水系 实景拍摄', '5 室 3 厅 5 卫', '沙河')
('熙园新出，大G户型，客厅大挑空，四卧朝南，看房随时', '5 室 3 厅 4 卫', '能源西路2号')
('上叠别墅 35层 法式建筑 私家庭院 独立电梯 环球影城南', '4 室 3 厅 3 卫', '顺义')
('（豪宅优推）北入户，南向大客厅 南卧室，看房随时！', '6 室 3 厅 4 卫', '天竺')
('首开琅越叠拼别墅，极简风格，所见即所得', '4 室 2 厅 3 卫', '天柱东路33号')
('万通天竺新新家园 二区豪装联排 临水系 位置好 采光棒', '5 室 3 厅 5 卫', '昌平')
('东五环亦庄 带装修大下叠边户10.4米大面宽 随时看房 入住', '4 室 3 厅 5 卫', '小汤山北')
('YYDS未来科学城富力首开价格有效', '5 室 4 厅 5 卫', '顺沙路,近秦上路')
('真实北区一手房中间户430平 不临街不临高层 菜地120平', '4 室 5 厅 5 卫', '通州')
('十一在京，随时可看）北京院子精装南合院，5居室4卧朝南户型好', '5 室 2 厅 7 卫', '台湖镇')
('嘉浩别墅 C户型 花园300平 挑高客厅 诚意出售', '5 室 2 厅 4 卫', '通房路')
('昌平区未来科学城 八仙南入户双拼别墅，集中供暖，业主', '4 室 3 厅 3 卫', '昌平')
('格拉斯四期S3独栋 南北无对视 紧邻水系 采光超好 双挑空', '5 室 3 厅 4 卫', '小汤山南')
('商品房满五，距离近，南北通透，带电梯房', '4 室 2 厅 2 卫', '立汤路9号')
('熙园大G户型，双厅设计，四卧朝南，房子位置好 看房随时', '5 室 3 厅 4 卫', '朝阳')
('北七家 2室2厅2卫 138平 （大两居）采光好顶层风景好', '2 室 2 厅 2 卫', '孙河')
('天恒乐墅上叠出售 企业力荐诚意出售', '4 室 2 厅 2 卫', '京平高速')
('新，有钥匙随时看，欢迎咨询，中海墅别墅，南北通透大园子', '5 室 3 厅 3 卫', '顺义')
('已实勘，实房实景 ，400平大院，畅销户型，买别墅，天恒独栋', '5 室 5 厅 3 卫', '天竺')
('复地湾流汇 4室2厅 312.56平 税费少 看房方便', '4 室 2 厅 3 卫', '天柱东路33号')
('（清退房源价格）十九号线 天悦壹号 现房别墅 私家电梯', '4 室 2 厅 2 卫', '通州')
('御汤山熙园纯独栋 小户型 绿地花园400平，餐厅挑空', '4 室 2 厅 4 卫', '次渠')
('万通天竺新新家园别墅 类独栋 西边户 邻水系 核心位置 急售', '5 室 3 厅 5 卫', '通州潞西路')
('未来科学城 大面宽 大公园 大发展 大配套 急售！', '9 室 3 厅 4 卫', '顺义')
('长阳 奥特莱斯九洲溪雅苑 大复式五居室 挑高5.8米 大面宽', '5 室 2 厅 3 卫', '后沙峪')
('（十一特价）浅山别墅玖瀛府 南邵站旁 精装别墅有电梯', '4 室 3 厅 4 卫', '高白路')
('降价300万 10号线 成寿寺 中海城大复式 好房在售随时看', '5 室 3 厅 4 卫', '大兴')
('首开缇香郡 4室3厅 电梯房 满二  住房 房东急置换 诚意', '4 室 3 厅 2 卫', '亦庄西区')
('（十一特价房）远洋现房别墅大面宽短进深，随时可看找我享优惠', '4 室 3 厅 4 卫', '凉水河路')
('十一在京，随时可看）邻水大独栋！斥资1000万精装，五卧朝南', '5 室 8 厅 8 卫', '朝阳')
('（十一特价）绿地精装现房，随时可看，小区好位置找我享优惠', '4 室 2 厅 3 卫', '孙河')
('远洋傲北南排大院精装修联排 户型方正，私密性好', '4 室 2 厅 4 卫', '顺黄路47号')
('京西悦府 135平 南北通透 电梯房  诚心出售 价格可议', '4 室 1 厅 2 卫', '顺义')
('漪涟轩 精装修低楼层 独立3居 210万  全天采光看房随时', '3 室 2 厅 1 卫', '中央别墅区')
('龙湖长城源著二期~温馨有家~端正大气~装修好~业主诚意卖', '1 室 1 厅 1 卫', '榆阳路5号')
('军博世纪坛医院对面，有色院新上南北通透两居，精装修，看房随时', '2 室 1 厅 1 卫', '昌平')
('852车站对面三居老本  169万可议', '3 室 2 厅 1 卫', '北七家')
('燕郊地铁房600米，一室一厅，复试产品，精装修，先到先得', '2 室 1 厅 1 卫', '定泗路')
('大兴机场南30公里地铁房 小平米温泉高端社区特价6500元起', '2 室 2 厅 1 卫', '通州')
('长阳半岛创新悦都二区 2室全明户型 高楼层', '2 室 1 厅 1 卫', '通州周边')
('金鱼池中区 2室3阳台 满五 商品房本 一套房 只有契税', '2 室 1 厅 1 卫', '滨河路')
('89平米200万两居室满五V一 无遮挡 视野开阔', '2 室 2 厅 1 卫', '昌平')
('急 急 换房绿茵花园别墅占地500平米院有钥匙', '4 室 2 厅 2 卫', '昌平县城')
('印象台湖新上三居，户型方正，紧挨7号线环球影视城', '3 室 1 厅 1 卫', '西环路25号')
('低首付 嘉都89平南北通透 精装现房 万科物业 免费班车接待', '2 室 2 厅 1 卫', '昌平')
('满五  住房 2室2厅 南北通透 84平 精装修  看房随时', '2 室 2 厅 1 卫', '小汤山北')
('朝新嘉园东里二区随时过户，三居室总价580', '3 室 1 厅 1 卫', '顺沙路,近秦上路')
('保利春天里4居2卫，明厨明卫，远离京开。随时看房', '4 室 1 厅 2 卫', '昌平')
('珠光逸景 精装修全南一居室 可当两居室用 满五  ', '2 室 1 厅 1 卫', '小汤山南')
('雄~安东城 D铁现房国庆优惠6500 地铁口1公里 配套成熟', '2 室 2 厅 1 卫', '立汤路30号')
('朝阳南永清 生态园林社区 夫妻温馨居住所配套设施完善交通便利', '2 室 2 厅 1 卫', '房山')
('天宫院天宫院小区1室1厅', '1 室 1 厅 1 卫', '阎村')
('（小区专家小李）长阳 60万豪装大三居 南北双阳台 看房方便', '3 室 2 厅 2 卫', '兴安路31号')
('中加荣园(北区) 电梯房  独立四室，可做五室也可截成两户。', '4 室 2 厅 3 卫', '大兴')
('北京R1地铁口 首 付5万带车位霸州高铁城 雄 安新区 门', '2 室 2 厅 1 卫', '亦庄西区')
('天地百0.9~南华园四区~123.7平米~大三居~诚售~可议', '3 室 2 厅 2 卫', '鹿华路')
('密云区(密云县) 2室2厅1卫 78.24平米', '2 室 2 厅 1 卫', '怀柔')
('通州东燕郊 地铁800米 低首付精装修 民水民电 通然气', '1 室 1 厅 1 卫', '雁栖')
('中央别墅区 后沙峪 裕京实景 花园600平 9车位 位置好', '5 室 1 厅 1 卫', '红螺路39号')
('燕郊核心区 现房   房 近地铁 双高速 带车位装修万科物业', '2 室 2 厅 1 卫', '昌平')
('电梯阳光泳池，单层面积280平，独栋别墅中佼佼者', '4 室 2 厅 3 卫', '小汤山南')
('涧桥山~2室1厅~83.99平米电梯房，精装修环境好，看房有', '2 室 1 厅 1 卫', '湾流汇6号')
('欢迎来电）顺义新城 首都机场附近 改善四居 总价530万', '4 室 2 厅 2 卫', '丰台')
('禧悦 西黄村地铁站 二期 禧瑞  98平米 三居室 精装', '3 室 2 厅 2 卫', '新宫')
('欢迎来电）海淀区 永丰 北五环 精装科技住宅 恒温恒湿恒氧', '4 室 2 厅 2 卫', '槐房西路')
('大兴南~15公里 地铁口 1公里 员工团购价5500 仅有2', '2 室 2 厅 1 卫', '昌平')
('大兴南 捡漏房   特价5800 紧邻高铁站 地铁口', '3 室 2 厅 1 卫', '小汤山北')
('1294万 光彩国际公寓 216平 仅契税 工体 法拍房', '4 室 2 厅 2 卫', '顺沙路,近秦上路')
('急售 京南    对面  现房~现房~200米内 医院配套全', '2 室 2 厅 1 卫', '顺义')
('北京政府东 地铁旁 现房 民电通燃气   旁 性价比高配套全', '2 室 2 厅 1 卫', '天竺')
('急售 大自然新城雅苑3室2厅2卫119.25平米 159万', '3 室 2 厅 2 卫', '天柱东路33号')
('新上 800万 金地格林小镇 三居 南北通透 亦庄 法拍房', '3 室 1 厅 1 卫', '昌平')
('后沙峪 4室2厅3卫 210.0平米 760.00万元', '4 室 2 厅 3 卫', '北七家')
('石景山 新房 地铁旁 四居双卫 电梯 配套齐全', '4 室 2 厅 2 卫', '定泗路')
('212万 黄村火车站 宇丰苑社区 商品房 04年建成 法拍', '2 室 1 厅 1 卫', '房山')
('独栋边户 南向观绿化 6个套房 南向800平大花园', '5 室 2 厅 3 卫', '长阳')
('甄选，加州水郡四期西南两居  高楼层 二次精装 采光视野好', '2 室 1 厅 1 卫', '京良路')
('朝阳南固安 温泉入户养老宜居 情侣爱巢 门口公交周边购物便利', '3 室 2 厅 1 卫', '昌平')
('ZN 天鹅湾，高厅挑高3.8米，高层观景，户型方正，全天阳光', '2 室 2 厅 2 卫', '南邵镇')
('金地褐石洋房，大兴机场临空经济区，城市综合体', '2 室 2 厅 1 卫', '南环南路')
('（欢迎来电）房山良乡 中骏云景台 三居室 精装修 一梯两户', '3 室 2 厅 2 卫', '朝阳')
('即买即住 现房 急售 北京南 门口公交 70年   直达北京', '2 室 1 厅 1 卫', '小红门')
('55平米 两居室 南北通透 135万价钱能商量', '2 室 1 厅 1 卫', '成寿寺路140号')
('北京一河之隔 地铁800米 精装交房  拎包入住 家电全带', '1 室 1 厅 1 卫', '通州')
('永清荣盛大盘！国庆推出20套特5800房源！高品质大社区', '2 室 2 厅 1 卫', '台湖镇')
('棕榈滩一期，必看房源， 前后无遮，挑空，大花园', '4 室 2 厅 3 卫', '通房路')
('京南 现房 即买即住 70年   电梯洋房 总高9层 直达北', '3 室 2 厅 1 卫', '大兴')
('迎宾花园88平2居220万  家电家具，豪装 满五  ，', '2 室 1 厅 1 卫', '瀛海镇')
('永清融创 特价5700 两居三居都有 门口公交直达北京', '2 室 2 厅 1 卫', '瀛吉街')
('一期八层电梯洋房，无税，可聊价格低的难以想象！精装视野很棒！', '2 室 1 厅 1 卫', '朝阳')
('1392万 朝阳公园 农展馆 1楼 适合老人居住 法拍', '4 室 1 厅 3 卫', '孙河')
('必看好房 国贸两居急售 满五年 百环家园 可   看房随时', '2 室 1 厅 1 卫', '景达路1号')
('国庆特惠首付两万 固安阳光郡高层洋房 交完首付直接按揭网签', '3 室 2 厅 1 卫', '大兴')
('兴云小区~ 两室一厅一卫 南北通透  五年    看房方便', '2 室 1 厅 1 卫', '枣园')
('品质好房)天竺 新新家园，好户型，业主急售，价格可商量，', '5 室 4 厅 5 卫', '双河北里东街')
('密云区(密云县) 1室1厅1卫 61.05平米', '1 室 1 厅 1 卫', '昌平')
('霸州 水系公园旁  三小  房 1公里市医院 高铁站直达', '2 室 2 厅 1 卫', '小汤山南')
('京南 固安 现房 温泉入户 门口医院     公交站直达北京', '3 室 2 厅 1 卫', '立汤路36号')
('欢迎来电）海淀区永丰 海淀幸福里，精装科技住宅，南北通透', '3 室 2 厅 2 卫', '房山')
('欢迎来电）亦庄金悦郡 精装洋房 首付98万，两居室 五环新房', '2 室 2 厅 1 卫', '阎村')
('云秀花园玉兰园(别墅)，错过只能去后悔，失去不能拥有，有钥匙', '5 室 2 厅 3 卫', '百合路35号院')
('好户型好地段好价格，全赶上了，还不快点！', '4 室 2 厅 2 卫', '密云')
('西黄村地铁站 精装修 电梯 楼层高 视野好 配套齐全', '4 室 2 厅 2 卫', '密云城区')
('顺义别墅区 捡漏房源！  清晰 独门独院 单层面积大 采光好', '4 室 2 厅 3 卫', '果园西路38号')
('大兴机场南经济区 特价温泉现房5800 养老社区周边配套齐全', '2 室 2 厅 1 卫', '密云')
('北京南霸州 养老现房特价38万！紧邻城铁站 中亭河湿地公园', '3 室 2 厅 1 卫', '密云周边')
('固安融创 国庆特价房11111 紧邻大兴机场，公交车直达北京', '3 室 2 厅 2 卫', '司马台村2号')
('密云区(密云县) 2室1厅1卫 62.7平米', '2 室 1 厅 1 卫', '海淀')
('北京南雄.安东   无线区域 温泉入户现房6800享市区配套', '2 室 2 厅 1 卫', '军博')
('北京大兴南20公里大  现房单价5500元起（带装修）可代款', '2 室 2 厅 1 卫', '铁医路')
('中海时光里）朝阳一颗闪亮的新星）邻里亿级墅区）共享亿级配套）', '4 室 3 厅 4 卫', '平谷')
('北京南地铁口低密社区 连体落地大阳台 增车位加地下室 储藏间', '3 室 2 厅 1 卫', '平谷城区')
('龙潭湖 2室1厅 左安浦园 精装修 价格可聊 看房随时', '2 室 1 厅 1 卫', '北二环路')
('全款250万全款250万水岸花墅~3室2厅~131.24平米', '3 室 2 厅 2 卫', '北京周边')
('赏星悦目独栋豪华装修980万可议现场看房紧邻城里真实在售.', '7 室 4 厅 4 卫', '燕郊')
('南口楼房~采光好~格局好~环境好~观景房', '2 室 1 厅 1 卫', 'Y605')
('急售 满五  住房 南北通透 101平 看房方便 有钥匙', '2 室 2 厅 1 卫', '北京周边')
('顺义城区 港馨家园西区 满五年精装大两居 可组合贷', '2 室 2 厅 1 卫', '廊坊')
('大兴南固安三盛 原生态温泉水入户！即买即住门口公交增 家电！', '1 室 1 厅 1 卫', '兴南路')
